query,dataset,library,time,memory,outputs,throughput,fot
\n!x{[^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.21,153911296.0,29.0,362478771.42857146,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153960448.0,67.0,346002636.3636364,0.0
\n!x{[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153796608.0,80.0,346002695.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153878528.0,95.0,346002763.6363636,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,154009600.0,51.0,346002563.6363636,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* AS [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.22,153944064.0,61.0,346002609.09090906,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153796608.0,53.0,346002572.72727275,0.0
\n!x{[^\n]* SELECT [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153944064.0,80.0,346002695.45454544,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153829376.0,67.0,346002636.3636364,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* AS [^\n]*}\n,sparql,RE2,0.22,153944064.0,36.0,346002495.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153927680.0,24.0,346002440.90909094,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153812992.0,52.0,346002568.1818182,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153812992.0,98.0,346002777.27272725,0.0
\n!x{[^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,154042368.0,69.0,346002645.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153780224.0,28.0,346002459.09090906,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,154157056.0,98.0,346002777.27272725,0.0
\n!x{[^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153763840.0,85.0,346002718.1818182,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153845760.0,40.0,346002513.6363636,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153927680.0,69.0,346002645.45454544,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,154042368.0,41.0,346002518.1818182,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*}\n,sparql,RE2,0.22,153878528.0,62.0,346002613.6363636,0.0
\n!x{[^\n]* AS [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*}\n,sparql,RE2,0.24,153927680.0,875.0,317172450.0,0.0
\n!x{[^\n]* SELECT [^\n]* LIMIT [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153829376.0,546.0,346004813.6363636,0.0
\n!x{[^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153894912.0,305.0,330960078.2608696,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153796608.0,280.0,330959969.5652174,0.0
